Statistical profiling result from isolate-0x642d700-83925-v8.log, (5847 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   4698   80.3%          /usr/bin/node
     92    1.6%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
      2    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     62    1.1%    5.9%  LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     44    0.8%    4.2%  LazyCompile: *wrap /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     41    0.7%    3.9%  LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     40    0.7%    3.8%  LazyCompile: *resolve node:path:1091:10
     23    0.4%    2.2%  LazyCompile: *SourceNode_walk /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:221:53
     13    0.2%    1.2%  LazyCompile: *anonymous /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     12    0.2%    1.1%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      9    0.2%    0.9%  LazyCompile: *resolvePath /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      8    0.1%    0.8%  RegExp: (?:\r\n?|\n).*
      8    0.1%    0.8%  LazyCompile: *compile /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      7    0.1%    0.7%  LazyCompile: *normalizeString node:path:66:25
      6    0.1%    0.6%  LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:176:16
      6    0.1%    0.6%  LazyCompile: *<anonymous> /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:174:29
      5    0.1%    0.5%  LazyCompile: *extend /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      5    0.1%    0.5%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      4    0.1%    0.4%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      4    0.1%    0.4%  LazyCompile: *resolvePossibleLambda /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:527:56
      4    0.1%    0.4%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      4    0.1%    0.4%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      4    0.1%    0.4%  LazyCompile: *appendEscaped /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      4    0.1%    0.4%  LazyCompile: *SourceNode_add /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:172:51
      3    0.1%    0.3%  RegExp: ^(?:\{\{(~)?\{)
      3    0.1%    0.3%  LazyCompile: *relative node:path:1190:11
      3    0.1%    0.3%  LazyCompile: *accept /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      2    0.0%    0.2%  RegExp: ^\.|this\b
      2    0.0%    0.2%  RegExp: ^(?:undefined(?=([~}\s)])))
      2    0.0%    0.2%  RegExp: ^(?:null(?=([~}\s)])))
      2    0.0%    0.2%  RegExp: ^(?:\}\}\}\})
      2    0.0%    0.2%  RegExp: ^(?:\{\{\{\{)
      2    0.0%    0.2%  RegExp: ^(?:\{\{(~)?!--)
      2    0.0%    0.2%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      2    0.0%    0.2%  RegExp: ^(?:\()
      2    0.0%    0.2%  RegExp: ^(?:[^\x00]+)
      2    0.0%    0.2%  RegExp: ;\s*charset\s*=
      2    0.0%    0.2%  RegExp: (^|\r?\n)\s*?$
      2    0.0%    0.2%  LazyCompile: *toString node:buffer:782:46
      2    0.0%    0.2%  LazyCompile: *template /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      2    0.0%    0.2%  LazyCompile: *renderView /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      2    0.0%    0.2%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.2%  LazyCompile: *push /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      2    0.0%    0.2%  LazyCompile: *prepareProgram /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:185:24
      2    0.0%    0.2%  LazyCompile: *preparePath /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      2    0.0%    0.2%  LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/vary/index.js:96:16
      2    0.0%    0.2%  LazyCompile: *module.exports /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/utils-merge/index.js:16:36
      2    0.0%    0.2%  LazyCompile: *lookupProperty /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.2%  LazyCompile: *header /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:754:29
      2    0.0%    0.2%  LazyCompile: *emit node:events:343:44
      2    0.0%    0.2%  LazyCompile: *castChunk /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
