Statistical profiling result from isolate-0x5b12700-84437-v8.log, (4845 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   3850   79.5%          /usr/bin/node
    104    2.1%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
      3    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     43    0.9%    4.8%  LazyCompile: *wrap /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     38    0.8%    4.3%  LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     35    0.7%    3.9%  LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     32    0.7%    3.6%  LazyCompile: *resolve node:path:1091:10
     21    0.4%    2.4%  LazyCompile: *SourceNode_walk /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:221:53
      9    0.2%    1.0%  LazyCompile: *compile /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      7    0.1%    0.8%  LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:176:16
      6    0.1%    0.7%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      6    0.1%    0.7%  LazyCompile: *resolvePath /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      6    0.1%    0.7%  LazyCompile: *anonymous /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      6    0.1%    0.7%  LazyCompile: *<anonymous> /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:174:29
      5    0.1%    0.6%  LazyCompile: *normalizeString node:path:66:25
      4    0.1%    0.5%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      4    0.1%    0.5%  RegExp: (?:\r\n?|\n).*
      4    0.1%    0.5%  LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:271:16
      4    0.1%    0.5%  LazyCompile: *join node:path:1166:7
      4    0.1%    0.5%  LazyCompile: *appendEscaped /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      4    0.1%    0.5%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.1%    0.3%  RegExp: ^\.|this\b
      3    0.1%    0.3%  LazyCompile: *renderView /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      3    0.1%    0.3%  LazyCompile: *relative node:path:1190:11
      3    0.1%    0.3%  LazyCompile: *handle /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:136:31
      3    0.1%    0.3%  LazyCompile: *generateList /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      3    0.1%    0.3%  LazyCompile: *anonymous /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      2    0.0%    0.2%  RegExp: ^\[.*\]$
      2    0.0%    0.2%  RegExp: ^(?:undefined(?=([~}\s)])))
      2    0.0%    0.2%  RegExp: ^(?:\}\}\}\})
      2    0.0%    0.2%  RegExp: ^(?:\{\{(~)?\/)
      2    0.0%    0.2%  RegExp: ^(?:\{\{(~)?#>)
      2    0.0%    0.2%  RegExp: ^(?:\))
      2    0.0%    0.2%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.2%  RegExp: (^|\r?\n)\s*?$
      2    0.0%    0.2%  LazyCompile: *template /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      2    0.0%    0.2%  LazyCompile: *resolvePossibleLambda /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:527:56
      2    0.0%    0.2%  LazyCompile: *render /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      2    0.0%    0.2%  LazyCompile: *normalize node:path:1127:12
      2    0.0%    0.2%  LazyCompile: *lookupProperty /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.2%  LazyCompile: *emit node:events:343:44
      2    0.0%    0.2%  LazyCompile: *accept /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      2    0.0%    0.2%  LazyCompile: *_write node:internal/streams/writable:283:16
      2    0.0%    0.2%  LazyCompile: *WhitespaceControl.Program /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.2%  LazyCompile: *SourceNode /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:35:20
      2    0.0%    0.2%  LazyCompile: *Program /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      1    0.0%    0.1%  RegExp: ^\/?$
      1    0.0%    0.1%  RegExp: ^.*[\.\/\\]
      1    0.0%    0.1%  RegExp: ^(?:null(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:as\s+\|)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?!--)
      1    0.0%    0.1%  RegExp: ^(?:\s+)
      1    0.0%    0.1%  RegExp: ^(?:\.\.)
      1    0.0%    0.1%  RegExp: ^(?:\()
      1    0.0%    0.1%  RegExp: \r?\n\s*?$
      1    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.1%  RegExp: [&<>"'`=]
      1    0.0%    0.1%  RegExp: ;\s*charset\s*=
      1    0.0%    0.1%  LazyCompile: *yy.locInfo /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:42:25
      1    0.0%    0.1%  LazyCompile: *send /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:107:25
      1    0.0%    0.1%  LazyCompile: *replaceStack /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      1    0.0%    0.1%  LazyCompile: *realpathSync node:fs:2408:22
      1    0.0%    0.1%  LazyCompile: *pushStackLiteral /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.0%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    0.0%    0.1%  LazyCompile: *preparePath /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      1    0.0%    0.1%  LazyCompile: *popStack /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      1    0.0%    0.1%  LazyCompile: *opcode /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      1    0.0%    0.1%  LazyCompile: *mergeSource /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      1    0.0%    0.1%  LazyCompile: *lookupOnContext /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      1    0.0%    0.1%  LazyCompile: *invokeAmbiguous /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      1    0.0%    0.1%  LazyCompile: *get node:_http_incoming:108:16
      1    0.0%    0.1%  LazyCompile: *fastparse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/parseurl/index.js:95:20
      1    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      1    0.0%    0.1%  LazyCompile: *extend /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      1    0.0%    0.1%  LazyCompile: *digest node:internal/crypto/hash:115:40
      1    0.0%    0.1%  LazyCompile: *debug /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.1%  LazyCompile: *createProtoAccessControl /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/internal/proto-access.js:19:34
      1    0.0%    0.1%  LazyCompile: *contextName /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:990:36
      1    0.0%    0.1%  LazyCompile: *castChunk /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *_unrefTimer node:net:402:52
      1    0.0%    0.1%  LazyCompile: *_getFile /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:299:17
      1    0.0%    0.1%  LazyCompile: *SourceNode_add /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:172:51
      1    0.0%    0.1%  LazyCompile: *SourceLocation /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:32:24
      1    0.0%    0.1%  LazyCompile: *ReadableState node:internal/streams/readable:78:23
      1    0.0%    0.1%  LazyCompile: *MustacheStatement /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      1    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28

 [C++]:
   ticks  total  nonlib   name
     97    2.0%   10.9%  __read
     72    1.5%    8.1%  epoll_pwait
     62    1.3%    7.0%  __pthread_cond_signal
     57    1.2%    6.4%  fwrite
     51    1.1%    5.7%  __write
     26    0.5%    2.9%  __libc_read
     24    0.5%    2.7%  __GI___pthread_mutex_unlock
     20    0.4%    2.3%  __pthread_cond_wait
     15    0.3%    1.7%  syscall
     14    0.3%    1.6%  __libc_malloc
     13    0.3%    1.5%  _IO_file_xsputn
     12    0.2%    1.4%  __mprotect
     11    0.2%    1.2%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     10    0.2%    1.1%  __libc_open
      5    0.1%    0.6%  __lll_lock_wait
